show_id,type,title,director,country,release_year,listed_in
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,2020,Documentaries
s2,TV Show,Blood & Water,Unknown,South Africa,2021,"International TV Shows, TV Dramas, TV Mysteries"
s3,TV Show,Ganglands,Julien Leclercq,Unknown,2021,"Crime TV Shows, International TV Shows, TV Action & Adventure"
s4,TV Show,Jailbirds New Orleans,Unknown,Unknown,2021,"Docuseries, Reality TV"
s5,TV Show,Kota Factory,Unknown,India,2021,"International TV Shows, Romantic TV Shows, TV Comedies"
s6,TV Show,Midnight Mass,Mike Flanagan,Unknown,2021,"TV Dramas, TV Horror, TV Mysteries"
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",Unknown,2021,Children & Family Movies
s8,Movie,Sankofa,Haile Gerima,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1993,"Dramas, Independent Movies, International Movies"
s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,2021,"British TV Shows, Reality TV"
s10,Movie,The Starling,Theodore Melfi,United States,2021,"Comedies, Dramas"
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",Unknown,Unknown,2021,"Crime TV Shows, Docuseries, International TV Shows"
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,Unknown,2021,"Crime TV Shows, International TV Shows, TV Action & Adventure"
s13,Movie,Je Suis Karl,Christian Schwochow,"Germany, Czech Republic",2021,"Dramas, International Movies"
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Unknown,2021,"Children & Family Movies, Comedies"
s15,TV Show,Crime Stories: India Detectives,Unknown,Unknown,2021,"British TV Shows, Crime TV Shows, Docuseries"
s16,TV Show,Dear White People,Unknown,United States,2021,"TV Comedies, TV Dramas"
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",Unknown,2020,"Documentaries, International Movies"
s18,TV Show,Falsa identidad,Unknown,Mexico,2020,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas"
s19,Movie,Intrusion,Adam Salky,Unknown,2021,Thrillers
s20,TV Show,Jaguar,Unknown,Unknown,2021,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,Unknown,2021,"Crime TV Shows, Docuseries, International TV Shows"
s22,TV Show,Resurrection: Ertugrul,Unknown,Turkey,2018,"International TV Shows, TV Action & Adventure, TV Dramas"
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,Unknown,1996,"Comedies, International Movies"
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",Unknown,2021,Children & Family Movies
s25,Movie,Jeans,S. Shankar,India,1998,"Comedies, International Movies, Romantic Movies"
s26,TV Show,Love on the Spectrum,Unknown,Australia,2021,"Docuseries, International TV Shows, Reality TV"
s27,Movie,Minsara Kanavu,Rajiv Menon,Unknown,1997,"Comedies, International Movies, Music & Musicals"
s28,Movie,Grown Ups,Dennis Dugan,United States,2010,Comedies
s29,Movie,Dark Skies,Scott Stewart,United States,2013,"Horror Movies, Sci-Fi & Fantasy"
s30,Movie,Paranoia,Robert Luketic,"United States, India, France",2013,Thrillers
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",Unknown,2021,"Dramas, Independent Movies, International Movies"
s32,TV Show,Chicago Party Aunt,Unknown,Unknown,2021,TV Comedies
s33,TV Show,Sex Education,Unknown,United Kingdom,2020,"British TV Shows, International TV Shows, TV Comedies"
s34,TV Show,Squid Game,Unknown,Unknown,2021,"International TV Shows, TV Dramas, TV Thrillers"
s35,TV Show,Tayo and Little Wizards,Unknown,Unknown,2020,Kids' TV
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,Unknown,2021,"Dramas, International Movies, Thrillers"
s37,Movie,The Stronghold,Cédric Jimenez,Unknown,2021,"Action & Adventure, Dramas, International Movies"
s38,TV Show,Angry Birds,Unknown,Finland,2018,"Kids' TV, TV Comedies"
s39,Movie,Birth of the Dragon,George Nolfi,"China, Canada, United States",2017,"Action & Adventure, Dramas"
s40,TV Show,Chhota Bheem,Unknown,India,2021,Kids' TV
s41,TV Show,He-Man and the Masters of the Universe,Unknown,United States,2021,"Kids' TV, TV Sci-Fi & Fantasy"
s42,Movie,Jaws,Steven Spielberg,United States,1975,"Action & Adventure, Classic Movies, Dramas"
s43,Movie,Jaws 2,Jeannot Szwarc,United States,1978,"Dramas, Horror Movies, Thrillers"
s44,Movie,Jaws 3,Joe Alves,United States,1983,"Action & Adventure, Horror Movies, Thrillers"
s45,Movie,Jaws: The Revenge,Joseph Sargent,United States,1987,"Action & Adventure, Horror Movies, Thrillers"
s46,Movie,My Heroes Were Cowboys,Tyler Greco,Unknown,2021,Documentaries
s47,Movie,Safe House,Daniel Espinosa,"South Africa, United States, Japan",2012,Action & Adventure
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,Unknown,2020,"International TV Shows, Romantic TV Shows, TV Comedies"
s49,Movie,Training Day,Antoine Fuqua,United States,2001,"Dramas, Thrillers"
s50,TV Show,Castle and Castle,Unknown,Nigeria,2021,"International TV Shows, TV Dramas"
s51,TV Show,Dharmakshetra,Unknown,India,2014,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan,2002,"Action & Adventure, Anime Features, International Movies"
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Japan,2003,"Action & Adventure, Anime Features, International Movies"
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Japan,2004,"Action & Adventure, Anime Features, International Movies"
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Japan,2001,"Action & Adventure, Anime Features, International Movies"
s56,TV Show,Nailed It,Unknown,United States,2021,Reality TV
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,2011,"Action & Adventure, Anime Features, International Movies"
s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Japan,2008,"Action & Adventure, Anime Features, International Movies"
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Japan,2009,"Action & Adventure, Anime Features, International Movies"
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan,2007,"Action & Adventure, Anime Features, International Movies"
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan,2010,"Action & Adventure, Anime Features, International Movies"
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Japan,2005,"Action & Adventure, Anime Features, International Movies"
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Japan,2006,"Action & Adventure, Anime Features, International Movies"
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,Japan,2004,"Action & Adventure, Anime Features, International Movies"
s65,Movie,Nightbooks,David Yarovesky,Unknown,2021,Children & Family Movies
s66,TV Show,Numberblocks,Unknown,United Kingdom,2021,Kids' TV
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,Unknown,India,2014,"Docuseries, International TV Shows"
